id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
101D0001_DSC4704,"feminism,immigration,race,resistance,assertive,indignation,solidarity",,"pink, text, purple, font, calligraphy",,,"hashtag,intersectional,racism,xenophobia",,,,,We Protest Racism Sexism Xenophobia #intersectional feminism,,We Protest...,solidarity,"internet, famous protest slogan","assertive, indignation","feminism, immigration, race, resistance",hand-written,text,marker
101D0001_DSC4705,"feminism,indignation,complaint",,"text, orange, font, line, label",,,,,,,,feminism is a radical notion that women are people,,Radical,complaint,other,indignation,feminism,hand-written,text,"marker, ribbon"
101D0001_DSC4706,"resistance,assertive,complaint",,"text, art, font, poster, design",,,,,,,,kindess matters,"hand, flowers",It Does,complaint,other,assertive,resistance,sans serif,"text, drawing","print, marker"
101D0001_DSC4707,"resistance,assertive,complaint",,"pink, text, poster, font, art",,,,,,,,kindess matters,"heart, flowers",Kindess Matters,complaint,other,assertive,resistance,sans serif,"text, drawing","print, marker"
101D0001_DSC4708,"resistance,assertive,complaint",,"pink, text, font, magenta, design, sign, banner",,,,,,,,silence *is* betrayal,,Betrayal,complaint,other,assertive,resistance,hand-written,text,marker
101D0001_DSC4709,"resistance,assertive,complaint",,"pink, text, font, magenta, art, poster, design, graphics, graphic design, advertising",,,"make america great again, campaign slogan ",,,,,"make america kind  finally, again!!","heart, american flag",Finally!,complaint,things trump said,assertive,resistance,"block, hand-written",drawing,marker
101D0001_DSC4710,"resistance,assertive,demand",,"blue, text, handwriting, font, writing",,,"rights,demand,equality",,,,,Human Rights are not optional,,Not Optional,demand,famous protest slogan,assertive,resistance,hand-written,text,marker
101D0001_DSC4711,"civil rights,resistance,assertive,complaint",,"blue, text, font, handwriting, writing",,,,,,,,humans rights are not optional ,,Not Optional,complaint,other,assertive,"civil rights, resistance",hand-written,text,marker
101D0001_DSC4712,"environment,labor,science,assertive,demand",,"text, pink, font, handwriting, writing",,,"equality,facts,truth",,,,,I Want - Income equality - Protection of the environment - Fact-based Decision making - Equality for all,,"Income Equality, Protection of the Environment, ...",demand,famous protest slogan,assertive,"environment, labor, science",hand-written,text,marker
101D0001_DSC4713,"resistance,education,assertive,solidarity",,"blue, text, font, calligraphy, art",,,"education,teachers,unity,activism",,,,,Teachers stand with Student Activists,,Teachers stand with Student Activists,solidarity,famous protest slogan,assertive,"resistance, education",hand-written,text,marker
101D0001_DSC4714,"history,race,resistance,assertive,indignation,complaint",,"text, font","Air Astana, 911",,"baldwin,quote,race,freedom",,,,,Freedom is something people take ~ James Baldwin,,Something People Take - Baldwin,complaint,historic reference,"assertive, indignation","history, race, resistance","typeface (imitative), sans serif",text,print
101D0001_DSC4715,"resistance,assertive,solidarity",,"text, yellow, font, product, banner, area, sign, advertising, product",,,,,,,,home of the brave! we fight on!,,Brave Fight On,solidarity,"pop culture, national anthem",assertive,resistance,"block, hand-written",text,marker
101D0001_DSC4716,"black lives matter,gender equality,hate,love,race,resistance,assertive,complaint",,"text, font, number, product design, sign",,,,,,,,"#blm, hate has no home here ","heart, gender sign, cresent and star",Not This Home,complaint,other,assertive,"black lives matter, gender equality, hate, love, race, resistance","block, hand-written","text, drawing",marker
101D0001_DSC4717,"resistance,assertive,complaint",,"pink, text, font, design, product design",,,,,,,,girls just wanna have fun-damental rights,,Fun and Fun Rights ,complaint,"pop culture, girls just wanna fun, song",assertive,resistance,hand-written,text,"marker, crayola"
101D0001_DSC4718,"science,assertive,demand",,"text, yellow, font, line, material",,,"truth,facts,news",,,,,Truth Matters,,Truth Matters,demand,famous protest slogan,assertive,science,block,text,marker
101D0001_DSC4719,"lgbtq,resistance,assertive,demand",,"text, font, calligraphy, number, pattern",,,"trans,rights,queer,resist,fist",,,,,Trans Rights Now,raised fist inside trans symbol,Trans Rights Now,demand,famous protest slogan,assertive,"lgbtq, resistance",block,text,marker
101D0001_DSC4720,"gender equality,lgbtq,love,resistance,assertive,loving,demand,encouragement,solidarity",,"circle, product design, font, square, rectangle",,,"gender, female, male, symbol",,,,,n/a,all gender symbols as one,Gender,"demand, encouragement, solidarity",famous protest slogan,"assertive, loving","gender equality, lgbtq, love, resistance",na,drawing,marker
101D0001_DSC4721,"gender equality,resistance,assertive,indignation,call to action",,"text, font, design, product design, calligraphy",,,"malala,yousafzai,education,quote,activism",,,,,"""We Cannot All Succeed When Half of Us Are Held Back."" Malala",,Half of Us - Malala,call to action,famous protest slogan,"assertive, indignation","gender equality, resistance",hand-written,text,drawing
101D0001_DSC4722,"feminism,hate,lgbtq,healthcare,indignation,complaint,call to action",,"text, font, line, calligraphy, product",,,"illness,healthcare,queer,welcome",,,,,"Am I still Welcome in your America if I'm: Chronically Ill Queer Woman?",rainbow text,Chronically Ill Queer Woman,"complaint, call to action",,indignation,"feminism, hate, lgbtq, healthcare",hand-written,text,marker
101D0001_DSC4723,"reproductive rights,women's rights,resistance,rage,demand",,"pink, text, purple, font, design",,,,,,,,"my body my choice, fuck off",middle finger,Fuck Off,demand,famous protest slogan,rage,"reproductive rights, women's rights, resistance",hand-written,"text, illustration",marker
101D0001_DSC4724,"feminism,gender equality,resistance,assertive,indignation,complaint,call to action",,"text, font, handwriting, calligraphy, writing",,,"tupac,shakur,hiphop,paper bag",,,,paper bag,"""Since we all came from a woman, got our name from a woman, I wonder why we take from women, why we rape our women, do we hate our women? I think it's time we killed for our women, be real to our women, try to heal our women, cuz if we don't we'll have a race of babies that will hate the ladies, who make the babies. And since man can't make one he has no right to tell a women [sic] when and where to create one."" - Tupac Shakur",,We all came from a woman - Tupac,"complaint, call to action",pop culture,"assertive, indignation","feminism, gender equality, resistance",hand-written,text,marker
101D0001_DSC4725,"hate,lgbtq,assertive,indignation,complaint",,"text, font, poster, product, product design",,,"homophobia,queer,hate,dwri,local",,,,,"Homophobia is not normal / DWRI Letterpress Providence, RI",,Homophobia - DWRI,complaint,internet,"assertive, indignation","hate, lgbtq","typeface (imitative), block",text,print
101D0001_DSC4726,"race,resistance,assertive,demand,encouragement",,"blue, red, text, poster, art",,,"resist,fist,washington,march,peace",,,,,"Hear Our Voice Women's March On Washington January 21, 2017","hands holding up a raised fist as a torch, lit, dove",Hear Our Voice,"demand, encouragement",famous protest slogan,assertive,"race, resistance",typeface (imitative),"text, illustration",print
101D0001_DSC4727,"love,reproductive rights,women's rights,resistance,assertive,loving,indignation,demand,encouragement,solidarity,call to action",,"blue, red, text, font, label",,,"bodies, minds, power",,,,,Our Bodies Our Minds Our Power,red banners with text,Our Power,"demand, encouragement, solidarity, call to action",famous protest slogan,"assertive, loving, indignation","love, reproductive rights, women's rights, resistance","decorative, sans serif",text,print
101D0001_DSC4728,"love,resistance,assertive,encouragement",,"blue, text, font, signage, advertising, sign, banner, brand, logo",,,"march,unity,peace",,,,,Forward We March,peace sign,Forward We March,encouragement,famous protest slogan,assertive,"love, resistance",block,text,paint
101D0001_DSC4729,"feminism,reproductive rights,women's rights,resistance,assertive,demand",,"pink, text, font, purple, pattern, design, magenta, line, drawing, area",,,"mybodymychoice,unity,repro,voice",,,,,My Body My Choice My Rights My Voice,female symbol,"Rights, Choice",demand,famous protest slogan,assertive,"feminism, reproductive rights, women's rights, resistance",block,text,marker
101D0001_DSC4730,"institutions/supreme court/political parties,race,trump,humor,rage,insults,complaint",,"pink, text, font, design, calligraphy, pattern, product, drawing, writing",,,"mary poppins,antifa,trump,racism,ego",,,,,Super Callous Fascist Racist Extra Braggadocious,,Super Callous Fascist Racist.....,complaint,pop culture,"humor, rage, insults","institutions/supreme court/political parties, race, trump",block,text,marker
101D0001_DSC4731,"resistance,indignation,complaint",,"blue, text, font, handwriting, writing",,,,,,,,denial is not a policy,,Denial,complaint,other,indignation,resistance,hand-written,text,marker
101D0001_DSC4732,"resistance,assertive,demand",,"blue, text, font, handwriting, writing",,,,,,,,freedom for everyone,,For Everyone,demand,other,assertive,resistance,hand-written,text,marker
101D0001_DSC4733,"feminism,immigration,lgbtq,love,arts,assertive,loving,demand,solidarity",,"yellow, text, font, calligraphy, line",,,"queer,arts,maga,female",,,maga,,Love is love: Keep LGBT Rights! Art saves lives: Keep our funding! Inmigrants (immigrants) make America great! You are alive cause of woman!,,"Keep LGBT Rights, Keep Arts Funding","demand, solidarity",famous protest slogan,"assertive, loving","feminism, immigration, lgbtq, love, arts",hand-written,text,marker
101D0001_DSC4734,"love,resistance,assertive,loving,encouragement",,"text, font, product, poster, pattern",,,"hope,love,peace,hunger games",quote attributed to a few figures,,,,Hope is the Only Thing Stronger than Fear,"peace sign, stars",Hope is the Only Thing Stronger than Fear,encouragement,"pop culture, famous protest slogan","assertive, loving","love, resistance","block, hand-written",text,marker
101D0001_DSC4735,"lgbtq,resistance,assertive,loving,encouragement",,"text, font, sign, poster, design, signage, banner, advertising",,,"angelou,quote,rise,unity,intersectional",,,,,Still We Rise!,"rainbow, diamond",Still We Rise!,encouragement,pop culture,"assertive, loving","lgbtq, resistance","typeface (imitative), serif",text,print
101D0001_DSC4736,"feminism,immigration,lgbtq,race,resistance,disability,assertive,indignation,solidarity",,"yellow, text, font, calligraphy, line",,,"resist,disabilities,poc,queer,activism",,,,,Our Bodies Our minds Our power / Women POC LGBTQIA People w/ disabilities Immigrants / We Will Not be quiet in this Dark Hour,,In This Dark Hour,solidarity,famous protest slogan,"assertive, indignation","feminism, immigration, lgbtq, race, resistance, disability","block, hand-written",text,marker
101D0001_DSC4737,"resistance,assertive,demand",,"blue, text, font, purple, art",,,,,,,,"Women's rights are human rights",,The Right Rights ,demand,"hillary, quote",assertive,resistance,hand-written,text,marker
101D0001_DSC4738,"feminism,love,assertive,call to action",,"blue, text, font, design, product",,,"love,families,peace,women",,,,,Strong Women / Know Them Be Them Raise Them,"heart, peace sign",Strong Women,call to action,famous protest slogan,assertive,"feminism, love",hand-written,text,marker
101D0001_DSC4739,"resistance,assertive,complaint",,"purple, text, font, drawing, design",,,,,,,,"won't be silent ",,Silent ,complaint,other,assertive,resistance,hand-written,text,marker
101D0001_DSC4740,"resistance,assertive,complaint",,"text, font, art, calligraphy, pattern",,,"grab them by the pussy, access hollywood tape",,,,,not in our locker room not in our white house,,Locker Room,complaint,things trump said,assertive,resistance,hand-written,text,marker
101D0001_DSC4741,"resistance,assertive,solidarity",,"text, font, paper, design, product design",,,,,,,,"i'm marching for my mom ",,For Mom,solidarity,other,assertive,resistance,hand-written,text,marker
101D0001_DSC4742,"resistance,equality,assertive,loving,indignation,demand,encouragement,solidarity,call to action",,"pink, text, font, design, magenta",,,"equal, rights, all, pink",,,,,Equal Rights for All!,text,Equal Rights,"demand, encouragement, solidarity, call to action",famous protest slogan,"assertive, loving, indignation","resistance, equality","block, decorative, hand-written",text,marker
101D0001_DSC4743,"resistance,rage,complaint",,"red, text, pink, font, art",,,,,,"hell no, gif",,oh hells no!,,NOOO!,complaint,popular memes,rage,resistance,"block, hand-written",text,marker
101D0001_DSC4744,"history,immigration,assertive,solidarity",,"text, poster, font",Vfiles,,"immigrant,liberty,ellis island,patriotism",,,,,There Would Be No America,statue of liberty,There Would Be No America,solidarity,famous protest slogan,assertive,"history, immigration","typeface (imitative), sans serif","text, photography",print
101D0001_DSC4745,"climate,environment,assertive,complaint",,"green, text, font, sign, grass, product, banner",,,,,,,,global warming is real,,"It's Real",complaint,other,assertive,"climate, environment",hand-written,text,paint
101D0001_DSC4746,"institutions/supreme court/political parties,reproductive rights,assertive,humor,loving,encouragement",,"text, font, poster, design, art",,,"pp,planned parenthood,rbg,supreme court,ginsburg",,,,,"Hang in there, RBG! I stand with Planned Parenthood I stand with Planned Parenthood",ruth bader ginsburg with a crown on,Hang In There RBG,encouragement,"pop culture, famous protest slogan","assertive, humor, loving","institutions/supreme court/political parties, reproductive rights","typeface (imitative), hand-written","text, illustration, photography","marker, collage"
101D0001_DSC4747,"resistance,assertive,complaint",,"text, font, design, product design, sign",,,"dissent,refusal,activism,resist",,,,,I Dissent!,,I Dissent!,complaint,"famous protest slogan, historic reference",assertive,resistance,hand-written,text,marker
101D0001_DSC4748,"lgbtq,assertive,demand",,"text, font, sign, product",,,"queer,rainbow,flag,equality",,,,,Equality Matters,rainbow pride flag,Equality Matters,demand,famous protest slogan,assertive,lgbtq,block,text,marker
101D0001_DSC4749,"resistance,assertive,encouragement,call to action",,"red, text, font, poster, design, sign, signage, brand, advertising",,,,,,,,fired up ready to go ,heart,Ready to Go,"encouragement, call to action",other,assertive,resistance,block,"text, drawing",construction paper
101D0001_DSC4750,"resistance,assertive,solidarity",,"font, art, drawing, serpent, design",,,grab them by the pussy,,,,,pussy,,Pus Power,solidarity,things trump said,assertive,resistance,"block, hand-written",text,marker
101D0001_DSC4751,"resistance,assertive,solidarity",,"pink, art, drawing, font, design",,,grab them by the pussy,,,,,power,"heart, devil face, emoji ",Pus Power,solidarity,things trump said,assertive,resistance,"block, hand-written","text, drawing",marker
101D0001_DSC4752,"love,trump,resistance,assertive,demand",,"text, font, design, product design, paper",,,"make america great again, campaign slogan ",,,,,make america great again ,heart,Be Kind,demand,things trump said,assertive,"love, trump, resistance",hand-written,"text, illustration",marker
101D0001_DSC4753,"healthcare,wealth inequality,assertive,indignation,demand",,"text, font, calligraphy, writing, number",,,"public,health,corporations,socialism",,,,,Public Health over Corporate Wealth,,Public Health > Corporate Wealth,demand,famous protest slogan,"assertive, indignation","healthcare, wealth inequality",hand-written,text,marker
101D0001_DSC4754,"resistance,humor,encouragement",,"text, font, handwriting, writing, calligraphy, paper",,,"dalai lama,quote,mosquito,resistance,activism",,,,,If you think You are too small to make a difference (?) try sleeping with a mosquito in the same room... Dalai Lama,,Mosquito in the Same Room,encouragement,historic reference,humor,resistance,hand-written,text,marker
101D0001_DSC4755,"resistance,loving,encouragement",,"text, font, handwriting, writing, calligraphy, paper, sign",,,,,,,,if you think you are too small to make a difference (?) try sleeping in the same room with a mosquito... - dalai lama ,,Small Difference ,encouragement,quote,loving,resistance,hand-written,text,marker
101D0001_DSC4756,"environment,lgbtq,race,reproductive rights,resistance,wealth inequality,disability,assertive,rage,demand",,"text, font, signage, area, sign",,,"intersectional,justice,queer,class,disability",,,,,We Demand Racial Reproductive Disability Queer Class Environmental Justice,,Racial / Repro / ... Justice,demand,famous protest slogan,"assertive, rage","environment, lgbtq, race, reproductive rights, resistance, wealth inequality, disability",hand-written,text,marker
101D0001_DSC4757,"black lives matter,immigration,assertive,demand,solidarity",,"black and white, font, design, monochrome, monochrome photography, art, pattern",,,"blm,immigration,undocumented",,,,,No Human is Illegal / Black Lives Matter,,No Human is Illegal / BLM,"demand, solidarity",famous protest slogan,assertive,"black lives matter, immigration",hand-written,text,paint
101D0001_DSC4758,"resistance,assertive,encouragement",,"text, font, writing",,,,,,,,truth is powerful and it prevails ,rainbow,Truth Prevails ,encouragement,other,assertive,resistance,hand-written,"text, drawing",marker
101D0001_DSC4759,"earth,immigration,lgbtq,love,women's rights,resistance,healthcare,assertive,loving,demand,encouragement,solidarity,call to action",,"text, font, angle, number",,,"love, kindness, respect, healthcare, women",,,,,Love Kindness Respect LGTBQ immigrant Other Abled equal pay Earth Children Women Health Care Power DAPL,"hearts, peace signs, female symbols",Kindness,"demand, encouragement, solidarity, call to action",famous protest slogan,"assertive, loving","earth, immigration, lgbtq, love, women's rights, resistance, healthcare","block, decorative, hand-written",text,marker
101D0001_DSC4760,"reproductive rights,women's rights,trump,resistance,assertive,rage,indignation,demand,complaint,call to action",,"text, pink, purple, font, magenta, area, picture frame, material, paper, product",Sunnei,,"paws, grubby, body, planned, parenthood",,,,,Keep yer grubby little paws off my BODY Support Planned Parenthood ,pink and black text,Support Planned Parenthood,"demand, complaint, call to action","things trump said, famous protest slogan","assertive, rage, indignation","reproductive rights, women's rights, trump, resistance",decorative,text,print
101D0001_DSC4761,"science,assertive,call to action",,"advertising, banner, product, signage, font, sign",,,,,,,,"girl get us to mars, usa",rocket,Get to Mars,call to action,other,assertive,science,block,"text, illustration","ribbon, letters, sticker letters"
101D0001_DSC4762,"resistance,assertive,loving,demand,encouragement",,"text, font, sign, signage, number","Melissa, Asha for Education",,"diversity,equality,unity,activism,ongoing",,,,comic sans,Diversity Equality Unity,infinity symbols,Infinity,"demand, encouragement",famous protest slogan,"assertive, loving",resistance,typeface (imitative),text,print
101D0001_DSC4763,"resistance,assertive,encouragement,call to action",,"text, font, art, advertising, sign",,,,,,,,keep marching forward,foot prints,Keep Marching,"encouragement, call to action",other,assertive,resistance,"block, hand-written","text, illustration",marker
101D0001_DSC4764,"civil rights,assertive,demand",,"text, font, design, sign, number",,,,,,,,free speech free press,,Speech and Press,demand,bill of rights,assertive,civil rights,hand-written,text,marker
101D0001_DSC4765,"feminism,resistance,assertive,solidarity",,"text, font, signage, sign, product design",,,,,,,,loud women proud women sisters all ,,Sisters Proud ,solidarity,other,assertive,"feminism, resistance",hand-written,text,marker
101D0001_DSC4766,"resistance,assertive,solidarity",,"poster, advertising, font, art",,,,,,,,"a woman's place is in the resistance, whyimarch",princess leia,Place in Resistance,solidarity,"pop culture, princess leia, star wars",assertive,resistance,sans serif,"text, photography",print
101D0001_DSC4767,"resistance,wealth inequality,assertive,indignation,complaint",,"blue, text, font, poster, product",,,"greed,wealth,dwri,local",,,,,"Greed is not normal / DWRI Letterpress Providence, RI",,DWRI - Greed,complaint,internet,"assertive, indignation","resistance, wealth inequality",typeface (imitative),text,print
101D0001_DSC4768,"feminism,love,assertive,loving,call to action",,"pink, text, purple, font, paper",,,"hashtag,feminism,empowerment,rainbow",,,,,Empowered Women Empower Women #feminism,"rainbow, heart, raised fist",Empowered Women Empower Women,call to action,"internet, famous protest slogan","assertive, loving","feminism, love","block, hand-written",text,marker
101D0001_DSC4769,"immigration,latino/a/x,love,loving,solidarity",,"text, signage, advertising, font, sign",,,"arabic,spanish,love,immigrants,welcome",,,,,"No importa de dónde eres, estamos contentos que seas nuestro vecino. No matter where you are from, we're glad you're our neighbor.",Arabic text,"Glad You're our Neighbor",solidarity,famous protest slogan,loving,"immigration, latino/a/x, love",typeface (imitative),text,print
101D0001_DSC4770,"hate,love,resistance,assertive,loving,indignation,demand,encouragement,solidarity,call to action",,"blue, text, product, font, advertising",,,"hate, spanish, arabic, herbew, home",,,,,Hate Has No Home Here. El odio no tiene hogar aqui. ,"multiple languages (english, arabic, herbew, spanish, unclear)",No Home Here,"demand, encouragement, solidarity, call to action",famous protest slogan,"assertive, loving, indignation","hate, love, resistance",sans serif,text,print
101D0001_DSC4771,"race,religion,resistance,assertive,meta,solidarity",,"pink, text, font, purple, design",,,"unity,ethnicity,equality,march,religion",,,,,I Walk For All People All Ethnicities All Religions,,"All People, Ethnicities, Religions",solidarity,"internet, famous protest slogan","assertive, meta","race, religion, resistance",hand-written,text,marker
101D0001_DSC4772,"love,resistance,assertive,loving,encouragement",,"text, font, product, design, product design",,,"revolution,love",,,,,Revolution (Love),,Revolution,encouragement,famous protest slogan,"assertive, loving","love, resistance",block,text,marker
101D0001_DSC4773,"resistance,healthcare,wealth inequality,assertive,demand",,"pink, text, font, product, design",,,,,,,,public health over coporat wealth,"people, cash sign",Health vs Wealth ,demand,other,assertive,"resistance, healthcare, wealth inequality","block, hand-written","text, drawing",drawing
101D0001_DSC4774,"immigration,islam,lgbtq,race,reproductive rights,trump,assertive,rage,solidarity",,"text, font, calligraphy, art, writing",,,"intersectional,queer,choice,trump",,,,,Pro-Black Pro-LGBTQIA Pro-Muslim Pro-Immigrant Pro-Choice Anti-Trump,,Pro-Black Pro-LGBTQIA ... Anti-Trump,solidarity,famous protest slogan,"assertive, rage","immigration, islam, lgbtq, race, reproductive rights, trump",hand-written,text,paint
101D0001_DSC4775,"history,trump,resistance,assertive,demand",,"blue, text, font, product, material",,,"history,revolution,tread,trump","'don't tread on me'",,,,"Don't Trump On Me!",,"Don't Trump On Me",demand,famous protest slogan,assertive,"history, trump, resistance",hand-written,text,paint
101D0001_DSC4776,"resistance,assertive,complaint",,"text, font, design, product design, angle",,,,,,,,why should the wants of a few outweigh the rights of many?,,OutWeigh Many,complaint,"pop culture, captain kirk, star trek",assertive,resistance,hand-written,text,marker
101D0001_DSC4777,"hate,love,trump,resistance,assertive,call to action",,"pink, purple, violet, magenta, product",,,"nasty woman, nasty women",,,,,"nasty women united!, trumps hate","heart, hearts, cat, heart",Women Unite,call to action,things trump said,assertive,"hate, love, trump, resistance",hand-written,"text, illustration, drawing","chalk, chalk board, sticker, rope"
101D0001_DSC4778,"resistance,assertive,demand,encouragement,solidarity,call to action",,"pink, text, font, purple, magenta",,,"hear, our, voices,",,,,,Hear Our Voices,colors coming out of bottom left corner,Hear Our Voices,"demand, encouragement, solidarity, call to action",famous protest slogan,assertive,resistance,"decorative, hand-written",text,marker
101D0001_DSC4779,"resistance,insults,indignation,complaint",,"pink, text, font, greeting card, product",,,,,,,,we revolt because he is revolting ,"gender sign, flies, stink lines ",Revolting and Gross,complaint,other,"insults, indignation",resistance,"block, hand-written","text, drawing",marker
101D0001_DSC4780,"resistance,assertive,complaint",,"text, font, wood, number, sign",,,"grab them by the pussy, pussy grabs back",,,,,pussy grabs back,,Grab Back,complaint,things trump said,assertive,resistance,"block, hand-written",text,marker
101D0001_DSC4781,"resistance,assertive,encouragement",,"blue, text, font, handwriting, writing",,,"democracy,activism,dissent",,,,,This is What Democracy Looks Like!,,What Democracy Looks Like!,encouragement,famous protest slogan,assertive,resistance,hand-written,text,marker
101D0001_DSC4782,"healthcare,assertive,demand",,"text, font, line, wood, product design",,,"healthcare,single payer,equality",,,,,Affordable Health Care For All,,Affordable Health Care For All,demand,famous protest slogan,assertive,healthcare,hand-written,text,marker
101D0001_DSC4783,"resistance,assertive,encouragement",,"blue, text, purple, font, banner",,,,,,,,i am strong powerful smart,,Strong and Powerful,encouragement,other,assertive,resistance,"block, hand-written",text,"marker, bead necklace"
101D0001_DSC4784,"black lives matter,assertive,demand",,"pink, text, font, poster, area","First responder, Fitness Girl, Macroplaza Puerto Vallarta, My First Mister (2001), ICL Performance Products",,,,,,,if all lives matter then make black lives maatter,,If Then,demand,famous protest slogan,assertive,black lives matter,sans serif,text,"print, rope"
101D0001_DSC4785,"resistance,indignation,complaint",,"text, font, area, writing, sign",,,,,,,,"i will not allow my life's light to be determined by the darkness around me. -sojourner truth ",,"Life's Light",complaint,quote,indignation,resistance,"block, hand-written",text,marker
101D0001_DSC4786,"hate,trump,resistance,assertive,indignation,complaint",,"blue, text, font, calligraphy, art",,,"streep,hollywood,respect,speech",,,,Meryl Streep,"""Disrespect Invites Disrespect"" MS",,Disrespect Invites Disrespect ,complaint,pop culture,"assertive, indignation","hate, trump, resistance",hand-written,text,paint
101D0001_DSC4787,"hillary clinton,hate,love,loving,encouragement",,"text, purple, handwriting, font, violet",,,"love,hate,clinton,campaign",,,clinton campaign slogan,,Love Trumps Hate,,Love Trumps Hate 2,encouragement,famous protest slogan,loving,"hillary clinton, hate, love",hand-written,text,marker
101D0001_DSC4788,"women's rights,resistance,assertive,demand",,"text, handwriting, purple, font, writing",,,"women,rights,feminism",,,,,"Women's Rights are Human Rights",,"Women's Rights (backside to Love Trumps Hate 3)",demand,famous protest slogan,assertive,"women's rights, resistance",hand-written,text,marker
101D0001_DSC4789,"reproductive rights,women's rights,resistance,assertive,complaint",,"text, pink, red, font, magenta",,,,,,,,girls just wanna have fun-damental rights!,"hearts, heart",Just Wanna,complaint,"pop culture, girls just wanna fun, song",assertive,"reproductive rights, women's rights, resistance",hand-written,"text, drawing",marker
101D0001_DSC4790,"love,women's rights,assertive,humor,demand",,"text, pink, font, love, heart",,,"lyrics,cyndi,lauper,love,rights",,,,,Girls Just Wanna Have Fun-Damental Rights!,hearts,Girls Just Wanna,demand,pop culture,"assertive, humor","love, women's rights",hand-written,text,marker
101D0001_DSC4791,"resistance,assertive,call to action",,"pink, text, purple, product, font",,,"change,gandhi",,,,,Be the Change,,Be the Change,call to action,famous protest slogan,assertive,resistance,"block, hand-written",text,marker
101D0001_DSC4792,"obama,loving,encouragement",,"red, pink, text, font, cartoon, magenta, design, drawing, illustration, art",,,,,,,,thank you obama!,"spill, heart",Thanks Obama,encouragement,other,loving,obama,hand-written,"text, drawing","marker, crayola"
101D0001_DSC4793,"putin,resistance,assertive,complaint",,"red, pink, text, font, magenta, design, line, area, product, pattern",,,grab them by the pussy,,,,,pussies not putin ,pussy,Pussies ,complaint,things trump said,assertive,"putin, resistance",hand-written,"text, illustration",marker
101D0001_DSC4794,"reproductive rights,assertive,complaint",,"text, font, design, product design, product",,,,,,,,my body my choice,,Choice is mine,complaint,famous protest slogan,assertive,reproductive rights,"block, hand-written",text,marker
101D0001_DSC4795,"reproductive rights,women's rights,resistance,assertive,loving,indignation,demand,complaint,solidarity",,"text, font, design, product, product",,,"body, choice, block",,,,,My Body My Choice,text,My Body ,"demand, complaint, solidarity",famous protest slogan,"assertive, loving, indignation","reproductive rights, women's rights, resistance","block, decorative, hand-written",text,marker
101D0001_DSC4796,"resistance,assertive,encouragement,call to action",,"red, text, font, art, design, graphics, calligraphy",,,"activism,refusal,continued",,,,,"We Won't Turn Back",,"We Won't Turn Back","encouragement, call to action",famous protest slogan,assertive,resistance,block,text,marker
101D0001_DSC4797,"resistance,assertive,fear,encouragement,call to action",,"red, text, font, art, sign, graphics, brand",,,"continued,activism,ongoing",,,,,Hazard but Forward,arrow,Hazard but Forward,"encouragement, call to action",famous protest slogan,"assertive, fear",resistance,block,text,marker
101D0001_DSC4798,"election,institutions/supreme court/political parties,trump,healthcare,housing,energy,education,humor,indignation,demand,complaint",,"text, font, art, calligraphy, area, banner, signage, product, drawing, sign",,,"carnage,inherited,international,economy,safety","play on ""a chicken in every pot""",,,,"The ""Carnage"" Is Yours Donald Trump / Energy UN Commerce Health Education Housing Justice / A fox in every hen house",fox,"The ""Carnage""","demand, complaint","things trump said, historic reference","humor, indignation","election, institutions/supreme court/political parties, trump, healthcare, housing, energy, education","block, hand-written","text, illustration",marker
101D0001_DSC4799,"women's rights,resistance,assertive,humor,demand",,"pink, text, font, calligraphy, design",,,"lyrics,cyndi,lauper,rights",,,,,Girls Just Wanna Have Fun-Damental Rights,,Fundamental Rights,demand,pop culture,"assertive, humor","women's rights, resistance",block,text,marker
101D0001_DSC4800,"love,resistance,assertive,demand",,"text, font, art, design, line",,,"equality,diversity,unity,resist",,,,,Diversity Equality Unity,arrows,Diversity Equality Unity + arrows,demand,famous protest slogan,assertive,"love, resistance",hand-written,text,marker
101D0001_DSC4801,"feminism,women's rights,trump,assertive,demand",,"blue, text, font, handwriting, line",,,"grabs,rights,trump,pussy",,,,,Our Rights are Not Up for Grabs! Neither Are We!,,"Not Up for Grabs, Neither are We",demand,"things trump said, famous protest slogan",assertive,"feminism, women's rights, trump",hand-written,text,marker
101D0001_DSC4802,"love,loving,solidarity",,"blue, text, purple, font, material",,,,,,,,love,"gender sign, heart, hearts","Let's Love",solidarity,other,loving,love,"cursive, hand-written","text, illustration, drawing",marker
101D0001_DSC4803,"feminism,resistance,assertive,encouragement",,"text, font, design, drawing, art",,,"pussy,vulva,vagina,body,feminism",,,,,Pussy Power!,vulva/vagina,Pussy Power!,encouragement,famous protest slogan,assertive,"feminism, resistance",hand-written,text,"marker, paint"
101D0001_DSC4804,"resistance,assertive,humor,complaint",,"text, font, drawing, design, paper",,,"rupaul,rpdr,satan,refusal,resist",rupauls drag race,,,,,,Not Today Satan (backside to Pussy Power!),complaint,pop culture,"assertive, humor",resistance,,text,marker
